,player_id,player_name,now_cost,position,team,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12
132,133,Peart-Harris,44,MID,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
133,134,Trevitt,45,MID,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
134,135,Wissa,73,FWD,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
135,136,Thiago,66,FWD,Brentford,6.0,2.0,6.0,1.0,2.0,13.0,2.0,8.0,5.0,2.0,13.0,4
136,137,Morgan,44,FWD,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
137,138,Steele,43,GKP,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
138,139,Verbruggen,44,GKP,Brighton,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,6.0,7
139,140,McGill,40,GKP,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
140,141,Rushworth,40,GKP,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
141,142,Scherpen,40,GKP,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
142,143,Boscagli,42,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
143,144,Coppola,43,DEF,Brighton,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
144,145,De Cuyper,43,DEF,Brighton,2.0,0.0,2.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,1
145,146,Dunk,45,DEF,Brighton,2.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,0.0,6.0,6.0,1
146,147,Estupiñan,45,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
147,148,F.Kadıoğlu,44,DEF,Brighton,0.0,0.0,0.0,4.0,1.0,2.0,2.0,2.0,-1.0,6.0,6.0,2
148,149,Igor,45,DEF,West Ham,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3
149,150,Lamptey,44,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
150,151,Van Hecke,44,DEF,Brighton,2.0,1.0,1.0,3.0,1.0,3.0,11.0,4.0,2.0,7.0,5.0,2
151,152,Veltman,43,DEF,Brighton,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
152,153,Webster,44,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
153,154,Cashin,40,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
154,155,Slater,40,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
155,156,Tasker,39,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
156,157,Mitoma,61,MID,Brighton,2.0,2.0,5.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
157,158,Georginio,57,MID,Brighton,6.0,0.0,1.0,1.0,5.0,2.0,1.0,7.0,2.0,3.0,2.0,2
158,159,March,58,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
159,160,Minteh,62,MID,Brighton,3.0,2.0,4.0,6.0,9.0,5.0,2.0,2.0,5.0,9.0,3.0,11
160,161,Enciso,54,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
161,162,Gruda,54,MID,Brighton,1.0,1.0,8.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0
162,163,Hinshelwood,51,MID,Brighton,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
163,164,O'Riley,55,MID,Brighton,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
164,165,Sima,54,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
165,166,Ayari,49,MID,Brighton,3.0,2.0,1.0,2.0,8.0,2.0,2.0,2.0,1.0,3.0,3.0,4
166,167,Baleba,47,MID,Brighton,3.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,2.0,1
167,168,Buonanotte,47,MID,Chelsea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
168,169,Gomez,49,MID,Brighton,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,16.0,3.0,1
169,170,Milner,49,MID,Brighton,1.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0
170,171,Sarmiento,49,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
171,172,Watson,48,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
172,173,Wieffer,49,MID,Brighton,4.0,3.0,0.0,0.0,1.0,3.0,1.0,7.0,4.0,10.0,3.0,4
173,174,Yalcouye,50,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
174,175,Knight,45,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
175,176,Mazilu,45,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
176,177,Moran,45,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
177,178,Welbeck,66,FWD,Brighton,1.0,0.0,2.0,2.0,1.0,11.0,1.0,13.0,6.0,6.0,2.0,8
178,179,Ferguson,55,FWD,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
179,180,Tzimas,53,FWD,Brighton,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0
180,181,Kostoulas,48,FWD,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0
181,182,Trafford,46,GKP,Man City,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
182,183,Weiss,43,GKP,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
183,184,Green,40,GKP,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
184,185,Hladký,39,GKP,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185,186,Roberts,44,DEF,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
186,187,Walker,44,DEF,Burnley,1.0,6.0,0.0,2.0,2.0,-1.0,1.0,14.0,3.0,1.0,0.0,0
187,188,Delcroix,38,DEF,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
188,189,Dodgson,40,DEF,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
189,190,Ekdal,40,DEF,Burnley,1.0,9.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0
190,191,Estève,39,DEF,Burnley,1.0,6.0,1.0,4.0,4.0,-2.0,1.0,8.0,1.0,1.0,3.0,3
191,192,Hartman,40,DEF,Burnley,1.0,6.0,1.0,4.0,2.0,3.0,4.0,6.0,7.0,1.0,1.0,1
192,193,Humphreys,40,DEF,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
193,194,Jordan,40,DEF,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
194,195,Lucas Pires,38,DEF,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
195,196,Sambo,40,DEF,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
